rews,2,4,2,4,1,3,2,2,2,3,4,2,2,4,2,4,3,3,3,3,2,2,2,1,2,2,2,2,1,3,2,2,3,2,1,2,4,3,4,2,2,2,2,1,3,2,3,3,3,4,3,3,2,1,2,2,3,2,3,2,2,2,2,3,3,3,2,3,3,1,3,2,3,2,2,3,3,2,3,2,1,2,3,2,4,2,1,3,3,2,2,3,2,2,3,3,2,2,2,2,2.42
pots,1,1,3,4,1,3,3,2,2,3,4,2,1,4,1,4,3,3,2,2,2,1,1,3,2,2,2,2,1,2,2,2,1,2,2,2,4,1,4,2,2,2,1,1,2,2,3,2,2,4,2,3,1,2,2,2,3,2,2,2,2,3,1,3,1,2,1,3,3,3,3,2,2,2,2,1,3,2,3,2,1,1,2,2,1,2,2,3,3,2,1,1,3,3,3,2,1,2,2,2,2.14
rews,2,2,3,4,3,3,3,2,3,2,2,1,1,3,2,3,2,2,1,2,2,1,2,2,4,2,2,2,2,3,2,1,2,2,2,3,2,2,3,2,2,3,3,1,2,3,2,1,3,3,3,2,3,1,2,2,3,2,2,3,2,3,5,2,2,2,2,2,2,2,2,3,2,3,2,3,2,1,1,2,2,2,4,3,3,3,2,2,4,2,3,2,1,2,2,2,2,2,2,2,2.27
pots,1,2,1,1,3,2,3,2,2,2,3,2,2,3,2,2,2,2,1,2,1,1,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,2,2,2,1,3,3,1,3,2,1,1,2,3,3,2,3,2,2,1,1,2,2,3,3,3,3,2,2,1,2,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,4,2,3,1,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2.08
rews,3,2,2,3,3,3,2,3,2,2,2,3,2,3,3,3,3,3,1,2,0,2,1,4,3,2,3,4,3,1,2,1,3,2,3,2,1,2,2,2,2,2,2,1,2,2,2,2,3,3,3,2,2,1,3,1,2,3,2,4,3,2,3,3,2,2,3,2,1,2,2,3,3,2,2,3,2,3,2,2,3,4,3,3,2,2,4,3,2,2,2,3,4,2,3,2,3,3,3,1,2.38
pots,2,2,2,2,1,3,3,3,1,2,2,1,2,3,3,3,3,2,3,2,1,2,3,2,3,1,3,2,3,3,2,1,2,1,3,2,2,2,1,2,1,1,2,1,2,2,3,2,3,3,2,3,2,3,3,2,2,1,2,3,1,2,3,3,2,1,2,2,2,2,2,3,1,2,1,3,2,2,1,2,3,1,2,3,3,2,3,2,2,1,2,1,4,2,3,2,2,2,2,1,2.11
rews,3,2,3,2,1,3,3,3,2,3,2,2,2,2,2,2,4,3,1,2,2,3,2,3,3,2,2,2,2,3,3,2,3,3,3,1,2,1,3,2,3,2,3,2,2,2,1,2,2,3,2,2,2,2,4,3,2,2,2,3,3,1,3,2,1,4,3,1,2,1,2,3,2,2,3,3,2,1,2,3,2,2,2,5,2,2,2,2,2,3,2,2,3,2,1,3,2,2,3,1,2.29
pots,3,2,2,2,1,3,2,3,2,1,1,2,3,2,2,1,4,3,2,2,3,3,2,3,2,2,2,2,2,1,2,2,3,3,2,3,1,3,3,2,3,3,3,2,3,2,2,2,2,3,2,2,2,1,4,2,1,1,2,2,3,1,1,3,1,2,1,2,2,2,2,3,2,2,3,2,2,4,2,3,3,2,2,1,2,2,2,2,2,2,2,2,3,2,2,1,3,2,1,1,2.15
rews,3,1,2,2,3,3,2,2,2,3,3,2,3,3,2,2,2,3,2,2,2,3,3,4,3,2,3,3,1,1,2,2,3,2,2,1,1,2,3,2,3,2,2,3,2,2,3,2,2,2,4,3,2,2,3,4,3,2,2,1,3,2,1,2,2,2,2,2,3,3,2,4,3,1,2,4,2,1,2,1,3,1,2,2,2,3,3,2,1,2,1,3,3,3,2,2,1,2,3,3,2.29
pots,3,2,2,1,1,3,3,2,2,2,2,4,3,2,3,2,2,1,2,2,2,3,3,1,3,2,1,2,1,3,2,3,3,2,2,1,2,1,3,2,2,2,1,3,1,2,1,2,2,2,1,2,2,2,3,4,3,3,3,2,2,4,2,2,3,2,2,2,3,2,1,1,3,3,3,2,2,2,2,3,1,2,2,1,2,3,3,2,1,2,1,2,2,3,1,2,2,2,3,3,2.15
